[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:10:21,137 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:32,927 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:33,047 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:36:33,047 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:33,047 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:33,157 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:36:33,157 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:33,157 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:33,278 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:36:33,278 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:33,278 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:33,408 [1] INFO  PDFv2.connect OTVORENE
